text,label
Крайне недоволен магазин,negative
"Средне, без восторга — продукт",neutral
Могло быть лучше — продукт,neutral
"Средне, без восторга — телефон очень",neutral
Мне очень понравился телефон очень,positive
Замечательный курс! очень,positive
Обычный сервис!,neutral
Совсем не понравился товар очень,negative
Я очень доволен товар,positive
"Не вау, но нормально — магазин",neutral
Очень плохо работает приложение,negative
крайне недоволен продукт!,negative
Мне очень понравился ноутбук очень,positive
Обычный приложение!,neutral
"Средне, без восторга — приложение",neutral
"Прекрасный товар, рекомендую",positive
"Просто идеально, курс!",positive
Это худший заказ!,negative
Качество плохое у ноутбук,negative
Отличный выбор — телефон очень,positive
Обычный сервис! очень,neutral
Очень плохо работает заказ очень,negative
Я в восторге от товар!,positive
"Просто идеально, сервис очень",positive
"не впечатлил, но и не разочаровал — приложение",neutral
Я очень доволен курс!,positive
"Есть минусы, но в целом нормально — заказ!",neutral
мне очень понравился приложение,positive
Стандартный магазин,neutral
Отличное качество курс,positive
Так себе телефон,neutral
Пойдет курс,neutral
Очень хороший курс очень,positive
Замечательный телефон!,positive
"Средне, без восторга — фильм",neutral
Качество плохое у товар,negative
В целом курс норм!,neutral
деньги потрачены зря на приложение!,negative
Отличный выбор — магазин,positive
"Нормально, но есть недостатки — заказ",neutral
"без эмоций, просто сервис",neutral
Отличное качество курс,positive
"Просто идеально, товар!",positive
"Есть минусы, но в целом нормально — магазин!",neutral
Очень плохо работает товар!,negative
деньги потрачены зря на продукт! очень,negative
Порадовал фильм,positive
"Скорее нормально, чем хорошо — фильм",neutral
Крайне недоволен ноутбук,negative
"Не вау, но нормально — сервис",neutral
Порадовал ноутбук!,positive
Очень разочарован фильм!,negative
"Скорее нормально, чем хорошо — телефон",neutral
Средний телефон,neutral
Обычный телефон,neutral
"все супер, магазин радует очень",positive
"Скорее нормально, чем хорошо — сервис",neutral
Никогда больше не куплю телефон!,negative
Пойдет приложение!,neutral
"Лучший фильм, который я видел",positive
Я очень доволен ноутбук,positive
Я в восторге от приложение,positive
"Есть минусы, но в целом нормально — курс",neutral
Я очень доволен товар!,positive
"Не лучший вариант, но сойдет — приложение",neutral
Отличный выбор — телефон очень,positive
Так себе ноутбук,neutral
Не рекомендую этот магазин!,negative
Обычный ноутбук,neutral
"Разочарование, а не сервис",negative
"Прекрасный сервис, рекомендую!",positive
Замечательный продукт!,positive
Никогда больше не куплю товар,negative
Я очень доволен курс,positive
Очень разочарован телефон,negative
Я в восторге от магазин!,positive
Качество плохое у курс!,negative
я очень доволен приложение,positive
Замечательный заказ,positive
Мне очень понравился фильм!,positive
"Скорее нормально, чем хорошо — ноутбук очень",neutral
"Есть минусы, но в целом нормально — продукт!",neutral
"лучший магазин, который я видел очень",positive
Отличный выбор — приложение,positive
Ужасный магазин,negative
"Не плохо, но и не хорошо — телефон",neutral
Стандартный приложение,neutral
"Разочарование, а не товар!",negative
Качество плохое у курс,negative
"Полный провал, товар!",negative
"лучший продукт, который я видел!",positive
"Без эмоций, просто магазин!",neutral
Обычный телефон,neutral
Мне очень понравился сервис,positive
Качество плохое у курс,negative
Обычный фильм,neutral
"Просто идеально, заказ",positive
Обычный продукт,neutral
"Все супер, курс радует очень",positive
Это худший сервис,negative
Отличный выбор — продукт,positive
Мне очень понравился приложение!,positive
"Не лучший вариант, но сойдет — ноутбук!",neutral
"Не вау, но нормально — ноутбук!",neutral
"Просто идеально, заказ очень",positive
Пойдет ноутбук,neutral
никогда больше не куплю ноутбук,negative
"Просто идеально, фильм!",positive
Очень хороший продукт!,positive
Я в восторге от магазин,positive
Могло быть лучше — заказ!,neutral
Можно использовать телефон!,neutral
Это худший магазин,negative
Ничего особенного в сервис,neutral
Могло быть лучше — сервис,neutral
"Скорее нормально, чем хорошо — курс",neutral
Совсем не понравился фильм,negative
Отличное качество заказ,positive
"полный провал, ноутбук",negative
"Ожидал большего, но пойдет — ноутбук!",neutral
качество плохое у продукт!,negative
Никогда больше не куплю продукт!,negative
Очень разочарован фильм,negative
"Не очень, но пользоваться можно — магазин!",neutral
Это худший курс!,negative
Совсем не понравился магазин,negative
"Есть минусы, но в целом нормально — приложение! очень",neutral
"Просто идеально, курс!",positive
"Лучший ноутбук, который я видел",positive
Очень разочарован продукт,negative
Я очень доволен сервис,positive
"Лучший приложение, который я видел!",positive
Крайне недоволен фильм,negative
Так себе телефон,neutral
Могло быть лучше — товар!,neutral
стандартный ноутбук,neutral
Средний ноутбук,neutral
Обычный приложение,neutral
Стандартный приложение!,neutral
Не рекомендую этот магазин!,negative
"Лучший сервис, который я видел!",positive
Не рекомендую этот ноутбук!,negative
"полный провал, телефон!",negative
Пойдет заказ!,neutral
"Не впечатлил, но и не разочаровал — телефон",neutral
"Не плохо, но и не хорошо — магазин",neutral
деньги потрачены зря на телефон,negative
можно использовать курс очень,neutral
"Не лучший вариант, но сойдет — телефон",neutral
"Не впечатлил, но и не разочаровал — фильм",neutral
"Есть минусы, но в целом нормально — фильм",neutral
Очень плохо работает ноутбук,negative
Никогда больше не куплю магазин!,negative
"Нормально, но есть недостатки — телефон",neutral
Отличное качество товар!,positive
Никогда больше не куплю ноутбук,negative
"полный провал, телефон",negative
"Есть минусы, но в целом нормально — магазин",neutral
Я в восторге от приложение!,positive
Это худший заказ,negative
Очень разочарован приложение,negative
Я очень доволен магазин!,positive
"Нормально, но есть недостатки — телефон!",neutral
"разочарование, а не товар!",negative
"Не вау, но нормально — курс!",neutral
Отличное качество курс!,positive
Никогда больше не куплю телефон,negative
Не рекомендую этот фильм очень,negative
Могло быть лучше — продукт,neutral
"Нормально, но есть недостатки — продукт",neutral
Не рекомендую этот ноутбук!,negative
порадовал магазин!,positive
"Просто идеально, телефон",positive
совсем не понравился товар,negative
"Не лучший вариант, но сойдет — сервис!",neutral
"Все супер, сервис радует",positive
Обычный сервис!,neutral
В целом продукт норм,neutral
"ожидал большего, но пойдет — фильм",neutral
Порадовал сервис,positive
"Скорее нормально, чем хорошо — фильм",neutral
Отличный выбор — сервис,positive
Не рекомендую этот телефон,negative
не рекомендую этот товар,negative
Отличное качество приложение,positive
Отличное качество приложение,positive
Я в восторге от фильм!,positive
"Нормально, но есть недостатки — продукт!",neutral
Порадовал продукт!,positive
"Полный провал, продукт",negative
Пойдет фильм,neutral
Замечательный сервис,positive
очень хороший заказ,positive
Мне очень понравился сервис,positive
Замечательный телефон,positive
"Полный провал, фильм",negative
Крайне недоволен сервис очень,negative
Деньги потрачены зря на телефон,negative
"Средне, без восторга — ноутбук",neutral
Нормальный продукт,neutral
"Все супер, сервис радует! очень",positive
"Просто идеально, ноутбук",positive
Это худший сервис!,negative
Отличное качество заказ,positive
Мне очень понравился товар,positive
Очень плохо работает заказ,negative
Совсем не понравился приложение,negative
замечательный заказ,positive
Ужасный ноутбук!,negative
Никогда больше не куплю ноутбук!,negative
"Все супер, заказ радует",positive
Мне очень понравился сервис очень,positive
Очень хороший товар,positive
"Все супер, телефон радует!",positive
Очень разочарован приложение!,negative
"полный провал, телефон",negative
"Не вау, но нормально — магазин",neutral
Крайне недоволен сервис,negative
Очень хороший продукт,positive
Ужасный курс!,negative
Совсем не понравился приложение,negative
Никогда больше не куплю приложение,negative
"Не впечатлил, но и не разочаровал — ноутбук",neutral
Отличный выбор — товар!,positive
Никогда больше не куплю телефон!,negative
Порадовал заказ очень,positive
"Полный провал, телефон!",negative
Крайне недоволен ноутбук очень,negative
Совсем не понравился телефон,negative
"разочарование, а не магазин!",negative
Стандартный курс,neutral
средний магазин,neutral
Совсем не понравился продукт,negative
Ужасный заказ очень,negative
в целом заказ норм!,neutral
"Разочарование, а не фильм",negative
Очень разочарован продукт,negative
Стандартный фильм! очень,neutral
Совсем не понравился товар! очень,negative
"Лучший товар, который я видел!",positive
Деньги потрачены зря на курс,negative
Крайне недоволен фильм очень,negative
Отличное качество телефон очень,positive
"Лучший приложение, который я видел!",positive
очень плохо работает курс,negative
"Все супер, ноутбук радует!",positive
так себе товар,neutral
Нормальный магазин,neutral
"Прекрасный заказ, рекомендую",positive
"Прекрасный ноутбук, рекомендую",positive
Мне очень понравился сервис очень,positive
Ужасный ноутбук,negative
"Не впечатлил, но и не разочаровал — ноутбук",neutral
деньги потрачены зря на курс,negative
Качество плохое у сервис,negative
"Не очень, но пользоваться можно — курс очень",neutral
"Не вау, но нормально — курс!",neutral
"Просто идеально, магазин очень",positive
Совсем не понравился заказ,negative
Нормальный заказ!,neutral
Никогда больше не куплю магазин,negative
Совсем не понравился приложение,negative
Очень хороший курс,positive
я в восторге от приложение,positive
"Не впечатлил, но и не разочаровал — сервис очень",neutral
Порадовал ноутбук!,positive
"Прекрасный заказ, рекомендую!",positive
"Не плохо, но и не хорошо — ноутбук",neutral
"Не очень, но пользоваться можно — курс!",neutral
Замечательный телефон,positive
"Лучший приложение, который я видел",positive
Качество плохое у продукт,negative
Это худший заказ!,negative
Крайне недоволен приложение,negative
"Полный провал, продукт",negative
"просто идеально, фильм",positive
Ужасный заказ очень,negative
"Не очень, но пользоваться можно — курс",neutral
В целом ноутбук норм,neutral
отличное качество фильм,positive
Ужасный приложение!,negative
"все супер, продукт радует",positive
Совсем не понравился телефон,negative
Стандартный курс!,neutral
Средний курс! очень,neutral
Отличный выбор — приложение очень,positive
Очень разочарован товар,negative
совсем не понравился ноутбук!,negative
Крайне недоволен курс,negative
"Все супер, заказ радует",positive
отличное качество товар!,positive
"Разочарование, а не курс!",negative
"Просто идеально, продукт",positive
"Не впечатлил, но и не разочаровал — магазин!",neutral
"Средне, без восторга — курс",neutral
Я очень доволен фильм!,positive
"Есть минусы, но в целом нормально — товар",neutral
Деньги потрачены зря на фильм! очень,negative
Совсем не понравился курс!,negative
"Лучший приложение, который я видел",positive
Отличное качество телефон,positive
"Разочарование, а не приложение",negative
Ужасный товар,negative
Так себе фильм,neutral
"Прекрасный сервис, рекомендую!",positive
Отличный выбор — товар,positive
Отличный выбор — заказ,positive
Отличный выбор — телефон!,positive
"Как и ожидалось, курс",neutral
Я в восторге от заказ,positive
Не рекомендую этот магазин,negative
"Полный провал, сервис",negative
Не рекомендую этот телефон очень,negative
стандартный сервис!,neutral
"Не вау, но нормально — магазин",neutral
"Как и ожидалось, товар",neutral
Очень плохо работает телефон!,negative
это худший фильм очень,negative
Отличный выбор — телефон,positive
"Не лучший вариант, но сойдет — продукт",neutral
"Как и ожидалось, сервис",neutral
"Прекрасный телефон, рекомендую",positive
"Полный провал, товар",negative
"Полный провал, магазин",negative
мне очень понравился телефон!,positive
"Просто идеально, приложение!",positive
"Не плохо, но и не хорошо — заказ",neutral
Отличный выбор — приложение,positive
Не рекомендую этот фильм!,negative
Стандартный товар,neutral
Никогда больше не куплю сервис,negative
Очень разочарован заказ,negative
я очень доволен приложение!,positive
Я очень доволен курс!,positive
Отличный выбор — сервис очень,positive
"Есть минусы, но в целом нормально — заказ!",neutral
Очень разочарован приложение,negative
"Полный провал, магазин",negative
Я в восторге от заказ!,positive
совсем не понравился ноутбук!,negative
Мне очень понравился заказ,positive
Стандартный заказ,neutral
"Как и ожидалось, заказ!",neutral
"Есть минусы, но в целом нормально — магазин",neutral
Отличное качество ноутбук! очень,positive
"Есть минусы, но в целом нормально — ноутбук!",neutral
деньги потрачены зря на телефон!,negative
Очень хороший приложение!,positive
Отличное качество магазин,positive
Очень хороший приложение,positive
Очень хороший продукт!,positive
"Скорее нормально, чем хорошо — сервис",neutral
"Нормально, но есть недостатки — товар! очень",neutral
Ужасный курс,negative
Я в восторге от продукт очень,positive
Я в восторге от заказ,positive
"Прекрасный сервис, рекомендую",positive
Совсем не понравился ноутбук,negative
"Не лучший вариант, но сойдет — фильм",neutral
"Не лучший вариант, но сойдет — фильм",neutral
Отличное качество фильм,positive
Никогда больше не куплю телефон,negative
Мне очень понравился ноутбук,positive
"Не вау, но нормально — магазин",neutral
Порадовал курс!,positive
"Средне, без восторга — приложение",neutral
Ужасный магазин!,negative
Я в восторге от курс!,positive
"Без эмоций, просто заказ",neutral
ничего особенного в фильм!,neutral
"Ожидал большего, но пойдет — сервис!",neutral
"Все супер, приложение радует!",positive
Очень хороший продукт,positive
Очень плохо работает продукт!,negative
Не рекомендую этот товар,negative
"Не плохо, но и не хорошо — заказ",neutral
Очень разочарован товар!,negative
Могло быть лучше — курс!,neutral
Стандартный заказ!,neutral
очень хороший приложение,positive
"Скорее нормально, чем хорошо — приложение",neutral
"Как и ожидалось, телефон",neutral
"Не очень, но пользоваться можно — магазин",neutral
Деньги потрачены зря на заказ,negative
деньги потрачены зря на телефон!,negative
Отличный выбор — курс!,positive
"Средне, без восторга — продукт",neutral
Порадовал ноутбук очень,positive
"Не впечатлил, но и не разочаровал — магазин",neutral
Средний сервис,neutral
средний сервис,neutral
Отличное качество фильм,positive
Отличный выбор — товар,positive
Очень плохо работает фильм!,negative
Порадовал товар!,positive
Обычный ноутбук!,neutral
Не рекомендую этот фильм!,negative
"Есть минусы, но в целом нормально — фильм",neutral
я очень доволен курс!,positive
"Есть минусы, но в целом нормально — фильм",neutral
Мне очень понравился ноутбук,positive
Отличное качество телефон,positive
Замечательный заказ,positive
Крайне недоволен товар!,negative
"Все супер, фильм радует!",positive
Я очень доволен сервис,positive
"Разочарование, а не ноутбук",negative
"Прекрасный магазин, рекомендую",positive
Пойдет товар,neutral
"Не вау, но нормально — продукт!",neutral
Стандартный телефон,neutral
"Не очень, но пользоваться можно — курс",neutral
"Скорее нормально, чем хорошо — товар",neutral
Не рекомендую этот фильм очень,negative
Это худший ноутбук,negative
"Полный провал, телефон",negative
Средний телефон!,neutral
"Без эмоций, просто курс",neutral
Никогда больше не куплю заказ,negative
Очень плохо работает сервис,negative
Порадовал телефон!,positive
Очень разочарован приложение,negative
Качество плохое у телефон!,negative
"Не лучший вариант, но сойдет — телефон",neutral
очень плохо работает телефон! очень,negative
Совсем не понравился сервис!,negative
"Не впечатлил, но и не разочаровал — приложение",neutral
Ничего особенного в товар!,neutral
"не лучший вариант, но сойдет — продукт",neutral
Замечательный магазин,positive
"все супер, фильм радует",positive
Ужасный заказ,negative
Ничего особенного в приложение,neutral
Мне очень понравился курс,positive
стандартный магазин,neutral
Совсем не понравился ноутбук!,negative
Качество плохое у магазин очень,negative
"Полный провал, сервис",negative
Это худший продукт,negative
Можно использовать курс,neutral
"Есть минусы, но в целом нормально — заказ",neutral
"лучший магазин, который я видел!",positive
"Скорее нормально, чем хорошо — продукт",neutral
"Не очень, но пользоваться можно — ноутбук!",neutral
"Есть минусы, но в целом нормально — фильм!",neutral
Так себе курс!,neutral
Я в восторге от телефон,positive
"Разочарование, а не магазин",negative
Порадовал курс!,positive
Я в восторге от сервис!,positive
Порадовал магазин,positive
"Не впечатлил, но и не разочаровал — продукт",neutral
Качество плохое у продукт,negative
"Не плохо, но и не хорошо — товар!",neutral
"Разочарование, а не товар!",negative
"Лучший товар, который я видел",positive
Очень хороший приложение,positive
"Не лучший вариант, но сойдет — фильм",neutral
Так себе фильм,neutral
Я очень доволен сервис!,positive
Деньги потрачены зря на товар!,negative
Очень хороший приложение,positive
Качество плохое у магазин,negative
Качество плохое у товар очень,negative
"Полный провал, ноутбук",negative
Мне очень понравился сервис,positive
Мне очень понравился ноутбук!,positive
отличное качество продукт,positive
Пойдет курс,neutral
"Нормально, но есть недостатки — сервис",neutral
Порадовал продукт,positive
Нормальный фильм!,neutral
Совсем не понравился заказ очень,negative
"Скорее нормально, чем хорошо — ноутбук",neutral
Порадовал приложение очень,positive
ужасный магазин!,negative
Крайне недоволен курс очень,negative
"Нормально, но есть недостатки — сервис",neutral
Очень плохо работает фильм!,negative
Очень хороший фильм,positive
замечательный курс,positive
порадовал телефон,positive
Порадовал приложение,positive
Крайне недоволен продукт,negative
"Не очень, но пользоваться можно — заказ",neutral
"Не очень, но пользоваться можно — продукт",neutral
"Не лучший вариант, но сойдет — заказ!",neutral
Деньги потрачены зря на сервис,negative
"Не вау, но нормально — магазин!",neutral
Я очень доволен приложение,positive
Качество плохое у телефон! очень,negative
Очень плохо работает телефон,negative
"Полный провал, заказ",negative
Отличный выбор — сервис,positive
Могло быть лучше — телефон!,neutral
"Не плохо, но и не хорошо — фильм",neutral
В целом курс норм,neutral
"Разочарование, а не фильм",negative
Не рекомендую этот сервис,negative
Это худший заказ!,negative
Ужасный заказ! очень,negative
"Как и ожидалось, телефон",neutral
отличное качество магазин,positive
Деньги потрачены зря на курс,negative
Очень разочарован продукт,negative
"разочарование, а не сервис",negative
Очень разочарован товар,negative
Это худший курс!,negative
"не лучший вариант, но сойдет — курс!",neutral
"Не впечатлил, но и не разочаровал — сервис",neutral
качество плохое у приложение,negative
"Есть минусы, но в целом нормально — заказ!",neutral
Качество плохое у фильм,negative
"ожидал большего, но пойдет — ноутбук",neutral
Средний приложение,neutral
"лучший сервис, который я видел!",positive
"Просто идеально, продукт",positive
"Не очень, но пользоваться можно — фильм!",neutral
Это худший телефон!,negative
Ничего особенного в курс,neutral
Замечательный продукт,positive
совсем не понравился курс очень,negative
можно использовать продукт очень,neutral
"Все супер, фильм радует",positive
В целом заказ норм!,neutral
"Ожидал большего, но пойдет — ноутбук! очень",neutral
"Полный провал, ноутбук!",negative
"Не лучший вариант, но сойдет — товар",neutral
качество плохое у товар,negative
"Не лучший вариант, но сойдет — товар",neutral
Очень плохо работает сервис!,negative
"Лучший продукт, который я видел!",positive
Нормальный товар!,neutral
Никогда больше не куплю магазин,negative
Ужасный магазин!,negative
Крайне недоволен приложение,negative
Замечательный магазин,positive
не рекомендую этот сервис!,negative
Очень разочарован приложение,negative
Я в восторге от телефон,positive
"Просто идеально, приложение",positive
"как и ожидалось, магазин!",neutral
Так себе товар,neutral
"Разочарование, а не приложение!",negative
Очень плохо работает магазин! очень,negative
Крайне недоволен товар,negative
отличное качество телефон,positive
Я в восторге от фильм очень,positive
Мне очень понравился товар очень,positive
"Просто идеально, курс",positive
Ужасный товар,negative
Нормальный продукт,neutral
"не лучший вариант, но сойдет — магазин!",neutral
"есть минусы, но в целом нормально — приложение",neutral
"Ожидал большего, но пойдет — фильм",neutral
Очень хороший приложение,positive
"Нормально, но есть недостатки — продукт очень",neutral
Могло быть лучше — заказ!,neutral
Могло быть лучше — продукт!,neutral
"Есть минусы, но в целом нормально — телефон",neutral
Ничего особенного в магазин,neutral
Очень хороший приложение очень,positive
Совсем не понравился сервис!,negative
Пойдет приложение,neutral
так себе товар,neutral
Порадовал курс!,positive
Я очень доволен заказ,positive
"Разочарование, а не магазин",negative
"Прекрасный телефон, рекомендую очень",positive
Крайне недоволен приложение,negative
Отличный выбор — заказ очень,positive
Отличное качество приложение!,positive
никогда больше не куплю заказ,negative
Отличное качество товар!,positive
"Прекрасный телефон, рекомендую",positive
"Прекрасный курс, рекомендую",positive
замечательный товар,positive
"Разочарование, а не курс",negative
"Прекрасный приложение, рекомендую",positive
Можно использовать приложение,neutral
"Не вау, но нормально — заказ",neutral
Отличный выбор — приложение,positive
Я в восторге от приложение!,positive
"Не плохо, но и не хорошо — приложение",neutral
Деньги потрачены зря на заказ,negative
Отличный выбор — магазин,positive
"не очень, но пользоваться можно — сервис",neutral
"не вау, но нормально — телефон",neutral
Очень хороший ноутбук,positive
Отличное качество заказ!,positive
Мне очень понравился заказ!,positive
Крайне недоволен продукт,negative
я очень доволен фильм,positive
"ожидал большего, но пойдет — магазин",neutral
"Нормально, но есть недостатки — продукт",neutral
Стандартный приложение,neutral
Так себе заказ,neutral
Крайне недоволен фильм,negative
совсем не понравился магазин,negative
"Лучший курс, который я видел",positive
Я очень доволен курс,positive
"Разочарование, а не товар",negative
Могло быть лучше — приложение!,neutral
совсем не понравился заказ!,negative
"Как и ожидалось, продукт",neutral
"Средне, без восторга — приложение",neutral
"Как и ожидалось, сервис",neutral
Не рекомендую этот магазин,negative
"Все супер, продукт радует!",positive
"лучший ноутбук, который я видел",positive
"Средне, без восторга — фильм",neutral
Я очень доволен сервис!,positive
"Средне, без восторга — сервис",neutral
"Все супер, ноутбук радует",positive
Я в восторге от фильм!,positive
"Разочарование, а не ноутбук",negative
"не вау, но нормально — курс",neutral
"Не впечатлил, но и не разочаровал — товар",neutral
"полный провал, заказ",negative
я очень доволен сервис,positive
Не рекомендую этот курс!,negative
Мне очень понравился сервис,positive
Могло быть лучше — товар!,neutral
"Прекрасный продукт, рекомендую",positive
"Прекрасный заказ, рекомендую!",positive
Средний продукт очень,neutral
"Разочарование, а не телефон!",negative
"Не лучший вариант, но сойдет — сервис",neutral
"Лучший ноутбук, который я видел",positive
"Средне, без восторга — магазин!",neutral
"Как и ожидалось, магазин",neutral
Обычный товар,neutral
"Прекрасный ноутбук, рекомендую очень",positive
"скорее нормально, чем хорошо — продукт",neutral
Это худший сервис!,negative
Деньги потрачены зря на магазин,negative
Обычный заказ!,neutral
"Разочарование, а не сервис",negative
Очень хороший приложение!,positive
ничего особенного в телефон,neutral
"Все супер, продукт радует",positive
"Просто идеально, товар!",positive
Крайне недоволен заказ!,negative
Совсем не понравился заказ,negative
"Не плохо, но и не хорошо — заказ",neutral
Мне очень понравился товар!,positive
Ужасный фильм,negative
Крайне недоволен приложение!,negative
Совсем не понравился курс,negative
Отличный выбор — курс,positive
мне очень понравился продукт,positive
Порадовал телефон,positive
Я в восторге от заказ,positive
"Средне, без восторга — продукт",neutral
Я очень доволен ноутбук,positive
"Не вау, но нормально — фильм",neutral
Могло быть лучше — товар,neutral
Очень хороший приложение,positive
"Средне, без восторга — фильм!",neutral
я очень доволен курс,positive
Очень разочарован продукт!,negative
"Не впечатлил, но и не разочаровал — товар",neutral
средний товар!,neutral
Качество плохое у сервис,negative
Не рекомендую этот фильм,negative
"Ожидал большего, но пойдет — приложение!",neutral
Пойдет курс!,neutral
Мне очень понравился заказ!,positive
пойдет товар!,neutral
"Разочарование, а не заказ",negative
"Ожидал большего, но пойдет — курс",neutral
"Есть минусы, но в целом нормально — магазин",neutral
Стандартный курс!,neutral
Очень разочарован приложение!,negative
В целом заказ норм,neutral
Я очень доволен заказ,positive
Качество плохое у товар,negative
Отличный выбор — сервис,positive
Ничего особенного в приложение!,neutral
Ужасный продукт,negative
Отличный выбор — телефон,positive
"Полный провал, приложение",negative
Порадовал сервис,positive
крайне недоволен приложение,negative
обычный курс! очень,neutral
"Ожидал большего, но пойдет — заказ",neutral
Никогда больше не куплю магазин,negative
Ужасный курс,negative
Очень хороший продукт,positive
мне очень понравился товар,positive
Могло быть лучше — фильм,neutral
"Просто идеально, магазин",positive
Ничего особенного в телефон!,neutral
Совсем не понравился телефон!,negative
Пойдет сервис,neutral
Пойдет товар,neutral
Я в восторге от курс,positive
Очень разочарован товар,negative
Никогда больше не куплю курс,negative
Мне очень понравился продукт!,positive
В целом сервис норм,neutral
Замечательный приложение,positive
Это худший ноутбук!,negative
Так себе телефон,neutral
Я в восторге от ноутбук!,positive
"Нормально, но есть недостатки — товар",neutral
Это худший заказ,negative
"Не очень, но пользоваться можно — курс",neutral
В целом ноутбук норм,neutral
Крайне недоволен продукт,negative
Никогда больше не куплю магазин!,negative
"Нормально, но есть недостатки — магазин!",neutral
"Не впечатлил, но и не разочаровал — ноутбук",neutral
Ничего особенного в ноутбук,neutral
"скорее нормально, чем хорошо — приложение",neutral
Качество плохое у фильм!,negative
Не рекомендую этот сервис,negative
"Разочарование, а не курс",negative
Я в восторге от заказ,positive
Так себе магазин,neutral
"Не очень, но пользоваться можно — заказ",neutral
качество плохое у ноутбук!,negative
"Прекрасный ноутбук, рекомендую!",positive
Могло быть лучше — телефон,neutral
Отличное качество сервис,positive
"Не впечатлил, но и не разочаровал — курс!",neutral
Совсем не понравился телефон,negative
"Без эмоций, просто заказ",neutral
Очень разочарован фильм! очень,negative
Отличное качество магазин,positive
"Скорее нормально, чем хорошо — фильм",neutral
Так себе курс,neutral
Совсем не понравился курс!,negative
"Не плохо, но и не хорошо — приложение",neutral
Могло быть лучше — товар,neutral
"Все супер, магазин радует",positive
"Не плохо, но и не хорошо — заказ",neutral
В целом фильм норм,neutral
порадовал курс!,positive
Очень плохо работает сервис,negative
"Прекрасный сервис, рекомендую!",positive
Замечательный сервис,positive
"Есть минусы, но в целом нормально — ноутбук!",neutral
"Просто идеально, телефон",positive
Очень плохо работает фильм,negative
Пойдет продукт,neutral
"Не впечатлил, но и не разочаровал — курс",neutral
Ужасный магазин очень,negative
Ужасный фильм,negative
"Просто идеально, телефон",positive
Ужасный товар,negative
"Разочарование, а не ноутбук! очень",negative
Нормальный заказ,neutral
"Нормально, но есть недостатки — курс! очень",neutral
Нормальный сервис очень,neutral
"Разочарование, а не телефон",negative
"Разочарование, а не телефон!",negative
"Средне, без восторга — приложение",neutral
"Разочарование, а не заказ очень",negative
Мне очень понравился магазин,positive
"Все супер, сервис радует",positive
"Прекрасный сервис, рекомендую",positive
"Не впечатлил, но и не разочаровал — фильм!",neutral
"Все супер, заказ радует!",positive
Средний фильм,neutral
Это худший магазин,negative
"Не плохо, но и не хорошо — курс",neutral
"Ожидал большего, но пойдет — сервис очень",neutral
замечательный телефон,positive
Можно использовать фильм,neutral
"Просто идеально, заказ",positive
"Есть минусы, но в целом нормально — курс!",neutral
Очень хороший товар,positive
Замечательный фильм,positive
Ужасный телефон,negative
